일자,Hour,1005004000_velocity,1050003300_velocity,1050020400_velocity,1070000200_velocity,1070000500_velocity,1070001600_velocity,D-08 유입_traffic,D-08 유출_traffic,F-03 유입_traffic,F-04 유출_traffic,기온(°C),강수량(mm),풍속(m/s),습도(%),적설(cm)
20220420,18,26.04,17.83,20.98,17.42,26.75,54.92,2055.0,1650.0,3708.0,3015.0,20.2,,2.9,30.0,
20220420,19,23.32,16.17,22.27,16.33,26.0,56.33,1935.0,1614.0,3089.0,2905.0,18.2,,2.9,37.0,
20220420,20,21.89,68.58,22.6,18.83,36.17,50.5,1821.0,1624.0,3805.0,2880.0,16.5,,3.3,40.0,
20220420,21,29.3,74.5,26.09,65.33,62.58,58.25,1702.0,1529.0,3284.0,2628.0,15.0,,2.2,48.0,
20220420,22,29.58,73.5,24.96,68.75,65.17,73.17,1446.0,1413.0,3184.0,2655.0,14.2,,2.5,54.0,
20220420,23,42.31,76.75,23.08,69.75,62.0,73.17,1155.0,1130.0,2458.0,2019.0,13.5,,1.6,54.0,
20220420,24,36.11,76.08,21.08,72.25,67.33,82.33,751.0,961.0,1598.0,1435.0,12.3,,1.5,62.0,
20220421,1,34.34,80.33,19.07,75.58,66.92,88.25,555.0,761.0,1192.0,1148.0,12.2,,0.8,55.0,
20220421,2,39.02,78.0,18.08,75.0,66.17,94.17,453.0,624.0,875.0,828.0,11.8,,0.9,55.0,
20220421,3,39.5,75.67,20.22,76.67,66.42,91.25,430.0,563.0,748.0,753.0,11.4,,1.5,53.0,
20220421,4,33.59,78.33,20.99,74.08,67.33,91.92,630.0,695.0,1099.0,1116.0,10.7,,2.0,56.0,
20220421,5,38.28,77.33,22.34,74.17,66.33,88.5,1243.0,1296.0,2397.0,2491.0,10.2,,2.0,61.0,
20220421,6,40.28,81.5,26.31,74.58,64.83,77.0,1848.0,1265.0,3871.0,3005.0,9.7,,1.9,65.0,
20220421,7,34.59,87.67,23.58,59.5,66.25,59.67,2141.0,1394.0,3992.0,2923.0,10.2,,1.3,65.0,
20220421,8,34.19,84.75,25.53,74.0,67.25,72.25,2283.0,1602.0,3884.0,2823.0,12.8,,1.6,58.0,
20220421,9,26.43,84.17,25.7,74.33,69.67,64.17,2123.0,1610.0,3822.0,2918.0,15.2,,1.7,52.0,
20220421,10,24.94,82.5,25.52,68.42,67.0,65.25,2072.0,1492.0,3673.0,2956.0,17.4,,1.2,36.0,
20220421,11,34.06,82.17,20.37,38.42,63.25,54.42,1971.0,1574.0,3665.0,2794.0,20.0,,2.5,24.0,
20220421,12,29.8,80.58,22.39,30.33,63.08,40.0,1848.0,1640.0,3665.0,2975.0,21.3,,3.7,22.0,
20220421,13,37.75,78.42,21.96,56.75,66.83,55.25,1910.0,1525.0,3620.0,2955.0,21.1,,3.9,25.0,
20220421,14,36.29,78.42,20.95,41.25,63.08,51.08,1947.0,1487.0,3628.0,2937.0,22.5,,3.9,23.0,
20220421,15,32.69,78.5,20.6,24.58,62.25,54.58,1886.0,1509.0,3656.0,2992.0,21.9,,4.5,25.0,
20220421,16,29.98,75.92,27.4,23.83,61.58,52.83,1906.0,1517.0,3668.0,3048.0,21.4,,5.7,23.0,
20220421,17,29.82,52.92,22.32,18.75,45.67,53.33,2022.0,1636.0,3668.0,3092.0,20.2,,5.2,47.0,
20220421,18,15.65,13.17,21.91,17.75,25.83,53.33,1962.0,1562.0,3691.0,3120.0,18.8,,4.1,54.0,
20220421,19,19.82,12.5,21.27,17.92,24.75,55.33,1796.0,1540.0,3702.0,2910.0,17.8,,3.9,55.0,
20220421,20,21.68,59.92,22.61,18.67,33.67,48.92,1824.0,1569.0,3428.0,2931.0,17.0,,3.7,58.0,
20220421,21,28.06,76.33,24.43,56.08,60.33,51.0,1695.0,1525.0,3511.0,2910.0,16.8,,3.2,55.0,
20220421,22,32.62,73.08,21.2,67.0,63.17,65.83,1573.0,1469.0,3319.0,2619.0,16.3,,4.3,59.0,
20220421,23,41.06,75.5,21.67,68.83,61.17,74.25,1177.0,1169.0,2547.0,2096.0,15.9,,2.7,59.0,
20220421,24,34.59,81.5,20.73,72.25,65.25,82.0,734.0,1015.0,1741.0,1539.0,12.9,,1.6,53.0,
20220422,1,39.87,80.17,20.24,75.58,65.75,88.83,599.0,825.0,1235.0,1136.0,15.1,,2.5,59.0,
20220422,2,39.15,74.42,17.89,76.67,66.17,91.08,441.0,698.0,961.0,916.0,14.9,,2.9,61.0,
20220422,3,42.3,75.83,16.97,76.42,65.33,92.0,436.0,582.0,873.0,827.0,14.5,,2.5,62.0,
20220422,4,41.61,78.67,19.18,75.67,65.92,91.83,660.0,779.0,1068.0,1144.0,14.2,,2.2,64.0,
20220422,5,40.72,77.67,18.41,73.42,66.33,89.5,1233.0,1260.0,2430.0,2526.0,14.3,,5.2,69.0,
20220422,6,38.0,77.5,21.53,73.5,63.33,77.0,1787.0,1303.0,3756.0,2974.0,14.6,,2.8,68.0,
20220422,7,36.35,84.83,24.2,64.92,64.58,61.75,2108.0,1376.0,3986.0,2818.0,14.8,,2.7,69.0,
20220422,8,31.24,82.5,21.61,73.75,67.42,72.58,2315.0,1594.0,3871.0,2842.0,15.4,,3.8,70.0,
20220422,9,30.07,83.25,23.96,73.25,67.75,69.0,2144.0,1617.0,3677.0,2758.0,16.3,,4.2,67.0,
20220422,10,30.84,79.83,25.57,43.17,55.75,71.33,1930.0,1513.0,3638.0,2249.0,16.8,,4.2,69.0,
20220422,11,31.07,75.92,22.8,13.58,47.17,64.0,2006.0,1455.0,3700.0,2568.0,16.6,,5.3,71.0,
20220422,12,35.14,79.5,19.65,14.17,49.25,45.33,1966.0,1337.0,2613.0,2416.0,16.8,,4.7,74.0,
20220422,13,32.9,78.33,22.57,45.08,66.5,62.58,1965.0,1350.0,3081.0,2278.0,16.3,,5.3,79.0,
20220422,14,32.74,77.25,19.14,57.5,65.5,67.92,2004.0,1479.0,3656.0,2835.0,15.7,,3.9,81.0,
20220422,15,33.16,77.17,23.7,25.25,63.08,54.08,1985.0,1587.0,3610.0,2891.0,15.8,,3.5,82.0,
20220422,16,27.47,33.08,19.72,18.83,54.92,56.25,1242.0,1486.0,2944.0,2940.0,15.4,,3.7,85.0,
20220422,17,30.05,18.92,18.92,44.42,66.33,58.33,607.0,1496.0,3350.0,2936.0,15.1,,3.4,87.0,
20220422,18,15.35,12.58,16.24,26.33,63.0,49.25,814.0,1591.0,3057.0,2938.0,14.9,,2.8,87.0,
20220422,19,12.6,16.33,19.05,27.75,66.42,51.75,1929.0,1603.0,3530.0,2899.0,14.5,,3.2,89.0,
20220422,20,22.85,62.42,19.93,42.42,55.58,49.25,1835.0,1606.0,3768.0,2794.0,14.2,,3.0,89.0,
20220422,21,30.32,72.83,25.45,25.17,58.75,42.33,1700.0,1514.0,3358.0,2825.0,14.2,,2.8,89.0,
20220422,22,30.81,72.25,24.52,51.25,64.25,50.5,1529.0,1512.0,3144.0,2614.0,13.9,,3.0,88.0,
20220422,23,41.79,74.92,22.65,69.25,63.17,70.33,1073.0,1305.0,2435.0,2102.0,13.6,,3.0,88.0,
20220422,24,34.4,76.25,20.39,70.83,63.08,81.17,851.0,1004.0,1832.0,1561.0,15.3,,2.4,61.0,
20220423,1,35.85,77.67,20.03,75.5,63.08,85.75,712.0,922.0,1363.0,1220.0,12.8,,2.6,86.0,
20220423,2,32.45,77.08,19.12,75.0,66.33,92.58,593.0,759.0,1162.0,1077.0,12.6,,0.9,86.0,
20220423,3,33.55,70.75,18.73,76.08,67.58,92.92,501.0,703.0,1056.0,921.0,12.0,,1.0,87.0,
20220423,4,35.88,76.33,18.64,75.58,65.75,92.42,600.0,721.0,1306.0,1294.0,11.2,,1.2,88.0,
20220423,5,44.29,67.83,17.57,76.17,64.67,88.83,1042.0,1231.0,2295.0,2376.0,10.8,,0.6,92.0,
20220423,6,43.46,79.58,21.54,74.5,64.33,78.92,1491.0,1298.0,2998.0,2940.0,10.5,,1.1,93.0,
20220423,7,42.38,84.67,24.58,53.42,61.42,62.08,1603.0,1275.0,3261.0,2857.0,10.7,,1.5,93.0,
20220423,8,35.09,83.58,25.37,73.17,63.42,71.5,1991.0,1326.0,3805.0,3039.0,12.2,,1.6,90.0,
20220423,9,34.33,81.0,25.87,45.42,61.92,56.08,2150.0,1454.0,3766.0,2659.0,14.3,,1.4,80.0,
20220423,10,35.89,82.0,26.08,45.42,65.67,37.83,1922.0,1422.0,3650.0,2547.0,16.7,,2.0,67.0,
20220423,11,31.96,80.92,25.24,17.33,57.67,30.75,1881.0,1458.0,3052.0,2437.0,18.6,,2.3,54.0,
20220423,12,28.91,79.75,26.31,32.58,67.25,27.5,2056.0,1581.0,3666.0,2675.0,19.8,,2.3,48.0,
20220423,13,27.29,82.67,20.48,48.67,66.17,40.0,1935.0,1497.0,3588.0,2735.0,21.7,,1.9,41.0,
20220423,14,30.75,80.5,20.1,32.0,64.67,41.42,1972.0,1534.0,3530.0,2726.0,23.4,,2.4,32.0,
20220423,15,24.26,78.25,22.43,46.67,64.42,45.33,1874.0,1600.0,3496.0,2848.0,24.7,,2.2,22.0,
20220423,16,31.06,78.75,22.97,48.33,66.5,52.83,1900.0,1664.0,3607.0,2850.0,25.1,,2.1,23.0,
20220423,17,28.8,73.0,25.61,40.33,61.25,52.42,2012.0,1529.0,3538.0,2874.0,24.7,,2.2,24.0,
20220423,18,25.18,71.92,24.48,17.83,51.08,52.58,1738.0,1629.0,3522.0,2816.0,24.3,,0.6,24.0,
20220423,19,31.05,79.25,22.0,50.0,65.5,55.58,1792.0,1592.0,3173.0,2604.0,22.8,,0.9,28.0,
20220423,20,38.76,79.75,21.19,68.58,64.33,56.25,1687.0,1535.0,3403.0,2570.0,20.8,,2.3,40.0,
20220423,21,31.21,76.67,22.79,67.25,60.42,60.08,1723.0,1493.0,3480.0,2668.0,19.3,,1.4,44.0,
20220423,22,34.43,72.92,23.29,63.25,57.75,58.33,1602.0,1345.0,3114.0,2433.0,18.0,,2.0,47.0,
20220423,23,41.02,74.75,22.65,66.67,62.75,71.83,1112.0,1168.0,2624.0,2090.0,17.1,,2.0,55.0,
20220423,24,36.79,75.75,21.8,69.83,64.42,81.0,857.0,1041.0,1944.0,1601.0,13.2,,2.5,85.0,
20220424,1,39.68,81.17,18.93,74.5,65.75,89.67,593.0,745.0,1348.0,1141.0,17.1,,2.5,57.0,
20220424,2,38.5,81.83,15.63,78.5,66.75,91.92,431.0,626.0,989.0,867.0,17.0,,2.3,58.0,
20220424,3,41.27,81.5,17.63,75.0,67.58,92.83,340.0,487.0,798.0,677.0,16.3,,1.5,60.0,
20220424,4,38.76,78.0,21.88,75.67,65.42,95.58,336.0,483.0,955.0,836.0,16.0,,3.4,76.0,
20220424,5,35.49,80.33,17.04,76.75,67.92,93.92,568.0,762.0,1397.0,1481.0,15.5,0.0,2.0,81.0,
20220424,6,38.69,76.33,20.6,74.17,62.83,85.92,847.0,972.0,1913.0,1993.0,15.1,0.1,0.9,87.0,
20220424,7,31.38,84.17,20.47,74.92,66.25,83.33,1046.0,1131.0,2260.0,2150.0,15.1,0.1,0.1,90.0,
20220424,8,35.28,83.83,21.23,73.25,65.25,82.5,1510.0,1326.0,2760.0,2714.0,15.5,0.1,1.7,91.0,
20220424,9,34.96,82.83,24.05,72.08,64.25,71.58,1871.0,1569.0,3383.0,2976.0,16.1,0.0,1.0,88.0,
20220424,10,31.25,84.08,23.76,70.08,59.5,60.33,2084.0,1705.0,3518.0,2878.0,17.7,0.0,1.5,81.0,
20220424,11,32.64,82.75,27.99,71.5,65.33,61.83,1894.0,1644.0,3488.0,2904.0,19.7,,2.4,71.0,
20220424,12,28.66,81.25,23.34,61.5,64.33,55.17,1979.0,1655.0,3243.0,2888.0,21.0,,2.1,59.0,
20220424,13,34.31,80.75,25.3,67.25,64.0,59.33,2059.0,1565.0,3623.0,2861.0,22.8,,2.5,52.0,
20220424,14,35.66,82.08,25.7,58.0,64.58,53.42,2008.0,1522.0,3585.0,2693.0,24.1,,3.6,51.0,
20220424,15,29.28,80.0,21.41,34.25,62.17,53.5,1842.0,1510.0,3604.0,2581.0,24.1,,2.9,51.0,
20220424,16,30.31,75.5,21.05,52.67,66.33,39.25,1904.0,1609.0,3534.0,2719.0,24.3,,2.5,49.0,
20220424,17,33.38,78.83,22.04,70.33,66.08,69.92,1789.0,1682.0,3578.0,2931.0,23.8,,2.9,55.0,
20220424,18,35.77,79.17,27.2,62.25,64.25,54.5,1800.0,1589.0,3514.0,2745.0,21.6,,4.0,64.0,
20220424,19,27.58,78.75,23.97,69.83,64.25,64.92,1771.0,1360.0,3299.0,2541.0,19.2,,3.1,72.0,
20220424,20,32.37,76.67,24.74,60.5,61.0,55.67,1768.0,1391.0,3532.0,2680.0,17.6,,2.8,78.0,
20220424,21,32.03,73.0,24.12,67.25,61.17,69.67,1692.0,1357.0,3495.0,2612.0,16.9,,2.7,83.0,
20220424,22,38.4,70.5,25.05,69.67,63.08,73.17,1491.0,1228.0,3004.0,2346.0,17.2,,2.8,84.0,
20220424,23,43.52,70.42,23.14,69.67,62.17,74.92,1130.0,939.0,1873.0,1645.0,17.0,,3.0,87.0,
20220424,24,32.53,73.5,18.87,73.67,64.25,85.42,759.0,981.0,1654.0,1449.0,16.8,,2.0,60.0,
20220425,1,34.65,68.58,15.66,71.83,63.5,91.33,485.0,553.0,899.0,783.0,17.1,0.1,0.8,91.0,
20220425,2,38.11,59.25,19.72,66.58,56.83,89.25,374.0,479.0,683.0,617.0,17.2,0.2,0.6,93.0,
20220425,3,35.54,66.67,22.66,61.67,55.42,89.67,375.0,425.0,669.0,623.0,17.1,0.1,1.0,93.0,
20220425,4,33.8,59.08,27.41,63.67,54.0,88.33,598.0,655.0,1040.0,1084.0,17.1,0.2,0.7,94.0,
20220425,5,39.31,65.08,24.88,67.75,56.42,88.33,1207.0,1230.0,2668.0,2605.0,17.1,0.1,0.9,94.0,
20220425,6,42.71,64.75,22.48,65.92,54.0,73.42,1921.0,1079.0,3399.0,2636.0,17.2,0.1,0.9,95.0,
20220425,7,32.44,83.75,23.56,67.75,57.75,67.58,1014.0,1345.0,3926.0,2821.0,17.2,0.2,1.8,95.0,
20220425,8,23.03,79.33,25.25,68.42,65.92,61.33,2047.0,1666.0,3629.0,2616.0,17.5,0.1,2.2,96.0,
20220425,9,19.53,81.17,23.3,71.83,67.42,73.83,1742.0,1654.0,3802.0,2871.0,18.0,0.0,2.6,94.0,
20220425,10,27.7,79.75,24.46,69.0,64.17,58.0,1887.0,1614.0,3598.0,2761.0,18.5,,2.7,91.0,
20220425,11,30.27,78.17,25.1,70.83,65.5,68.33,1813.0,1753.0,3768.0,2876.0,19.4,,1.0,85.0,
20220425,12,26.55,78.75,23.33,62.17,63.58,53.75,1912.0,1574.0,3630.0,3000.0,20.5,,1.2,81.0,
20220425,13,32.71,81.0,23.43,55.0,62.25,55.25,1907.0,1701.0,3643.0,3047.0,21.8,,1.6,70.0,
20220425,14,33.91,76.75,25.53,67.58,63.58,53.5,1915.0,1632.0,3559.0,3009.0,23.2,,2.2,66.0,
20220425,15,31.25,79.0,24.32,46.5,63.17,55.67,1909.0,1482.0,3642.0,2953.0,23.4,,2.3,64.0,
20220425,16,27.65,77.5,24.4,31.5,61.83,54.0,1977.0,1590.0,3377.0,2986.0,23.5,,1.2,64.0,
20220425,17,35.19,65.83,22.79,30.17,66.33,54.92,2048.0,1651.0,3802.0,3057.0,23.2,,1.7,64.0,
20220425,18,29.66,28.25,21.33,20.58,46.5,53.83,1983.0,1560.0,3776.0,3059.0,22.8,,0.8,65.0,
20220425,19,23.02,73.0,22.02,17.25,24.08,51.33,1948.0,1597.0,3553.0,2898.0,22.0,,0.9,69.0,
20220425,20,25.29,73.58,21.35,22.0,41.33,48.33,1762.0,1516.0,3291.0,2712.0,21.4,,1.2,72.0,
20220425,21,26.34,72.92,26.31,65.67,63.92,65.5,1639.0,1427.0,3342.0,2677.0,21.1,,1.3,74.0,
20220425,22,29.76,69.75,26.32,67.25,62.67,69.5,1395.0,1343.0,2877.0,2382.0,20.6,0.0,1.4,77.0,
20220425,23,40.85,72.75,21.28,68.92,63.33,74.58,1074.0,1069.0,2240.0,1731.0,20.4,0.0,1.7,78.0,
20220425,24,33.14,69.0,21.58,70.08,64.08,83.0,695.0,752.0,1416.0,1118.0,17.0,0.0,1.6,88.0,
20220426,1,40.0,70.0,18.41,72.5,70.0,89.58,483.0,651.0,1085.0,991.0,19.7,0.0,1.2,80.0,
20220426,2,37.86,70.0,16.63,70.42,70.0,90.83,391.0,548.0,789.0,718.0,19.1,0.1,1.4,82.0,
20220426,3,34.47,70.0,19.29,71.75,70.0,93.25,375.0,454.0,817.0,728.0,18.1,0.4,3.0,83.0,
20220426,4,39.89,70.0,17.67,62.17,70.0,86.75,588.0,652.0,975.0,1012.0,17.3,0.4,1.9,88.0,
20220426,5,45.5,70.0,23.47,61.25,70.0,85.58,1207.0,1170.0,2413.0,2336.0,17.0,0.1,2.1,88.0,
20220426,6,35.0,71.0,23.84,69.08,59.5,78.33,1856.0,1163.0,3706.0,2864.0,17.0,,2.8,84.0,
20220426,7,43.83,83.0,19.65,67.0,65.08,66.33,2155.0,1390.0,3967.0,2950.0,17.0,,2.7,87.0,
20220426,8,38.32,80.92,22.34,73.83,67.0,67.42,2304.0,1612.0,3920.0,2867.0,18.4,,2.5,79.0,
20220426,9,32.96,81.75,25.39,74.25,68.92,69.75,2127.0,1364.0,3673.0,2718.0,20.4,,1.7,68.0,
20220426,10,32.58,81.17,26.82,74.17,67.5,75.42,2045.0,1703.0,3726.0,2908.0,22.3,,1.3,63.0,
20220426,11,30.92,79.92,23.01,57.58,62.08,60.58,1963.0,1653.0,3631.0,2968.0,24.2,,2.1,55.0,
20220426,12,31.14,79.33,20.3,50.42,63.92,54.08,1837.0,1562.0,3639.0,2949.0,26.1,,3.4,45.0,
20220426,13,37.1,81.17,19.86,48.42,64.17,53.25,1729.0,1585.0,3684.0,2881.0,27.5,,3.0,41.0,
20220426,14,43.4,77.33,23.62,63.25,65.83,57.67,1960.0,1716.0,3516.0,2828.0,28.2,,4.4,37.0,
20220426,15,35.74,78.25,23.35,63.75,64.17,61.67,1868.0,1650.0,3628.0,2879.0,28.4,,4.8,38.0,
20220426,16,37.95,76.75,26.4,37.08,63.08,52.58,1894.0,1620.0,3729.0,2948.0,28.4,,3.5,37.0,
20220426,17,32.03,69.17,23.68,21.5,52.33,50.08,2021.0,1561.0,3708.0,3064.0,27.5,,4.9,38.0,
20220426,18,28.94,14.17,22.44,17.25,28.67,53.67,1819.0,1617.0,3698.0,3085.0,25.6,,5.3,45.0,
20220426,19,24.07,68.67,17.17,17.58,25.75,55.83,1957.0,1607.0,3554.0,2893.0,23.9,,5.1,47.0,
20220426,20,24.82,74.5,21.6,18.25,32.75,48.33,1790.0,1584.0,3564.0,2867.0,22.7,,2.3,49.0,
20220426,21,29.27,72.25,20.31,52.92,62.58,54.33,1680.0,1475.0,3412.0,2805.0,21.9,,3.1,56.0,
20220426,22,36.49,73.17,19.8,68.25,62.42,64.0,1443.0,1431.0,3085.0,2576.0,19.9,,4.4,64.0,
20220426,23,37.28,73.67,20.03,69.83,62.5,73.33,1098.0,1102.0,2085.0,1787.0,18.3,,2.5,62.0,
20220426,24,35.53,76.83,20.29,74.33,64.67,83.25,728.0,978.0,1498.0,1406.0,20.2,0.2,2.1,78.0,
20220427,1,44.75,77.58,18.22,77.17,65.25,89.75,540.0,779.0,1164.0,1092.0,16.4,,3.0,41.0,
20220427,2,46.02,78.0,17.51,76.75,65.58,89.92,438.0,689.0,856.0,892.0,15.5,,2.9,37.0,
20220427,3,38.83,80.5,14.27,74.17,68.25,92.25,398.0,545.0,776.0,745.0,14.6,,2.8,34.0,
20220427,4,35.4,76.58,18.68,76.58,65.83,90.83,610.0,735.0,1025.0,1135.0,13.6,,1.2,35.0,
20220427,5,35.33,76.17,24.62,75.0,65.58,88.08,1275.0,1261.0,1988.0,2266.0,13.0,,3.3,36.0,
20220427,6,48.26,80.42,22.7,75.67,66.08,81.33,1887.0,1227.0,3668.0,2889.0,13.1,,4.3,31.0,
20220427,7,40.37,82.58,23.81,70.25,67.17,56.0,2108.0,1426.0,3970.0,2996.0,13.4,,2.5,30.0,
20220427,8,32.48,82.17,26.43,72.67,68.83,68.0,2176.0,1612.0,3872.0,2822.0,14.5,,2.8,30.0,
20220427,9,29.89,84.25,24.53,74.58,70.42,59.17,2129.0,1610.0,3763.0,2888.0,16.4,,2.4,27.0,
20220427,10,33.9,79.08,23.97,72.42,67.92,65.92,1880.0,1596.0,3656.0,2814.0,18.1,,1.6,26.0,
20220427,11,31.67,80.42,22.83,70.83,65.83,64.08,1979.0,1750.0,3631.0,2894.0,19.8,,1.9,24.0,
20220427,12,28.97,80.5,22.9,71.5,64.25,63.17,1843.0,1649.0,3582.0,2980.0,21.0,,1.6,22.0,
20220427,13,31.51,80.92,23.8,62.83,64.08,55.08,1860.0,1559.0,3602.0,2916.0,22.4,,2.1,19.0,
20220427,14,31.73,77.92,23.92,55.25,63.5,51.83,1974.0,1615.0,3600.0,2890.0,23.0,,3.2,18.0,
20220427,15,30.33,79.42,21.69,55.42,65.17,54.0,1909.0,1619.0,3581.0,2905.0,23.5,,3.5,23.0,
20220427,16,20.5,76.42,19.15,29.58,59.83,54.92,1950.0,1525.0,3614.0,2778.0,23.4,,2.8,23.0,
20220427,17,21.41,59.5,21.64,18.17,54.42,48.58,2095.0,1481.0,3733.0,2969.0,22.8,,3.9,26.0,
20220427,18,19.45,16.0,15.41,16.17,28.42,49.08,1999.0,1677.0,3577.0,3043.0,21.3,,3.9,28.0,
20220427,19,27.17,16.5,18.18,16.92,22.67,56.0,1933.0,1568.0,3665.0,2850.0,19.6,,3.6,31.0,
20220427,20,32.25,66.83,21.36,16.17,25.75,49.42,1891.0,1508.0,3270.0,2761.0,18.0,,2.1,33.0,
20220427,21,29.61,73.0,23.46,45.83,63.58,38.83,1709.0,1580.0,3575.0,2922.0,17.1,,3.1,38.0,
20220427,22,36.21,74.42,22.04,67.17,61.58,64.08,1521.0,1408.0,3183.0,2595.0,16.4,,2.6,41.0,
20220427,23,40.54,71.5,20.22,56.75,61.08,51.33,1111.0,1101.0,1947.0,1671.0,15.6,,2.8,47.0,
